t,cam1_x,cam1_y,cam1_src,cam2_x,cam2_y,cam2_src
0,240.0,446.0,detected,,,none
1,259.0,484.0,detected,,,none
2,274.0,525.0,detected,,,none
3,292.0,562.0,detected,,,none
4,308.0,604.0,detected,,,none
5,326.0,641.0,detected,,,none
6,341.0,679.0,detected,,,none
7,349.0,701.0,detected,,,none
8,341.0,664.0,detected,,,none
9,341.0,626.0,detected,,,none
10,341.0,592.0,detected,,,none
11,334.0,562.0,detected,,,none
12,334.0,540.0,detected,,,none
13,334.0,518.0,detected,,,none
14,334.0,499.0,detected,,,none
15,338.0,491.0,detected,,,none
16,341.0,476.0,detected,,,none
17,345.0,476.0,detected,,,none
18,349.0,476.0,detected,,,none
19,352.0,476.0,detected,,,none
20,356.0,480.0,detected,,,none
21,364.0,488.0,detected,,,none
22,371.0,491.0,detected,,,none
23,371.0,506.0,detected,,,none
24,382.0,521.0,detected,,,none
25,386.0,536.0,detected,,,none
26,386.0,562.0,detected,,,none
27,394.0,585.0,detected,,,none
28,401.0,611.0,detected,,,none
29,409.0,638.0,detected,,,none
30,416.0,668.0,detected,,,none
31,416.0,671.0,detected,,,none
32,416.0,649.0,detected,,,none
33,412.0,626.0,detected,,,none
34,409.0,604.0,detected,,,none
35,420.0,611.0,detected,,,none
36,454.0,649.0,detected,,,none
37,472.0,671.0,detected,,,none
38,476.0,649.0,detected,,,none
39,484.0,622.0,detected,,,none
40,491.0,604.0,detected,,,none
41,491.0,585.0,detected,,,none
42,,,none,,,none
43,,,none,,,none
44,,,none,,,none
45,,,none,,,none
46,,,none,,,none
47,,,none,,,none
48,,,none,,,none
49,,,none,,,none
50,,,none,,,none
51,,,none,,,none
52,,,none,,,none
53,,,none,,,none
54,,,none,,,none
55,,,none,,,none
56,,,none,,,none
57,,,none,,,none
58,,,none,,,none
59,,,none,,,none
60,,,none,,,none
61,,,none,,,none
62,,,none,,,none
63,,,none,,,none
64,,,none,,,none
65,,,none,,,none
66,,,none,,,none
67,,,none,,,none
68,,,none,,,none
69,,,none,,,none
70,,,none,,,none
71,,,none,,,none
72,,,none,,,none
73,,,none,,,none
74,,,none,,,none
75,,,none,,,none
76,,,none,,,none
77,,,none,,,none
78,,,none,,,none
79,765.0,544.0,detected,,,none
80,799.0,574.0,detected,,,none
81,829.0,604.0,detected,,,none
82,866.0,634.0,detected,,,none
83,889.0,641.0,detected,,,none
84,904.0,615.0,detected,,,none
85,919.0,596.0,detected,,,none
86,930.0,578.0,detected,,,none
87,945.0,562.0,detected,,,none
88,956.0,548.0,detected,,,none
89,971.0,536.0,detected,,,none
90,986.0,532.0,detected,,,none
91,990.0,525.0,detected,,,none
92,,,none,,,none
93,,,none,,,none
94,,,none,,,none
95,,,none,,,none
96,,,none,,,none
97,,,none,,,none
98,,,none,,,none
99,,,none,,,none
100,,,none,,,none
101,,,none,,,none
102,,,none,,,none
103,,,none,,,none
104,,,none,,,none
105,,,none,,,none
106,,,none,,,none
107,,,none,,,none
108,,,none,,,none
109,,,none,,,none
110,,,none,,,none
111,,,none,,,none
112,,,none,,,none
113,,,none,,,none
114,,,none,,,none
115,,,none,,,none
116,,,none,,,none
117,,,none,,,none
118,,,none,,,none
119,,,none,,,none
120,,,none,,,none
121,,,none,,,none
122,,,none,,,none
123,,,none,,,none
124,,,none,,,none
125,,,none,,,none
126,,,none,,,none
127,,,none,,,none
128,,,none,,,none
129,,,none,,,none
130,,,none,,,none
131,,,none,,,none
132,,,none,,,none
133,,,none,,,none
134,,,none,,,none
135,,,none,,,none
136,,,none,,,none
137,,,none,,,none
138,,,none,,,none
139,,,none,,,none
140,,,none,,,none
141,,,none,,,none
142,,,none,,,none
143,,,none,,,none
144,,,none,,,none
145,,,none,,,none
146,,,none,,,none
147,,,none,,,none
148,,,none,,,none
149,,,none,,,none
150,,,none,,,none
151,,,none,,,none
