frame,reason,priority,hint_u,hint_v,confidence
5,lowconf,2,2712.3,820.3,0.596
6,lowconf,2,2697.0,639.0,0.524
8,miss,1,2705.3,607.7,
9,miss,1,2706.5,561.0,
10,miss,1,2707.6,514.3,
11,miss,1,2708.8,467.7,
12,miss,1,2709.9,421.0,
13,miss,1,2711.1,374.3,
14,miss,1,2712.2,327.6,
15,miss,1,2713.4,280.9,
22,fp_isolated,1,1211.3,1755.0,0.515
23,miss,1,1156.6,1774.9,
24,miss,1,1051.1,1855.4,
25,miss,1,945.5,1936.0,
26,miss,1,839.9,2016.6,
27,miss,1,734.4,2097.2,
28,miss,1,628.8,2177.7,
29,miss,1,523.2,2258.3,
30,miss,1,417.7,2338.9,
69,fp_isolated,1,2526.6,924.6,0.598
70,miss,1,2526.6,924.6,
71,miss,1,2526.6,924.6,
72,miss,1,2526.6,924.6,
73,miss,1,2526.6,924.6,
74,miss,1,2526.6,924.6,
75,miss,1,2526.6,924.6,
76,miss,1,2526.6,924.6,
77,miss,1,2526.6,924.6,
108,fp_isolated,1,2321.3,941.3,0.515
109,miss,1,2321.3,941.3,
110,miss,1,2321.3,941.3,
111,miss,1,2321.3,941.3,
112,miss,1,2321.3,941.3,
113,miss,1,2321.3,941.3,
114,miss,1,2321.3,941.3,
115,miss,1,2321.3,941.3,
116,miss,1,2321.3,941.3,
218,lowconf,2,2220.0,2116.9,0.525
219,lowconf,2,2116.5,1894.5,0.534
220,lowconf,2,2127.8,1890.0,0.545
221,lowconf,2,1958.8,1573.7,0.536
222,miss,1,1913.7,1461.3,
223,lowconf,2,1740.0,1207.4,0.523
225,miss,1,1596.2,945.9,
226,miss,1,1504.7,779.3,
227,miss,1,1413.1,612.6,
232,lowconf,2,1544.1,1116.5,0.543
234,miss,1,1480.6,1023.3,
235,miss,1,1456.8,1008.3,
236,lowconf,2,1500.0,1196.2,0.56
238,lowconf,2,1465.5,1074.1,0.52
239,miss,1,1448.9,1150.3,
240,miss,1,1436.4,1159.2,
241,lowconf,2,1462.5,993.8,0.551
242,lowconf,2,1454.9,948.7,0.59
244,miss,1,1439.2,948.7,
245,miss,1,1433.5,926.2,
246,miss,1,1427.8,903.7,
247,miss,1,1422.1,881.3,
248,miss,1,1416.4,858.8,
249,miss,1,1410.7,836.4,
250,lowconf,2,1367.5,848.4,0.538
251,lowconf,2,1362.5,845.0,0.519
252,lowconf,2,1365.0,839.9,0.548
253,miss,1,1349.4,811.4,
254,miss,1,1340.3,795.9,
255,miss,1,1331.2,780.5,
256,miss,1,1322.1,765.0,
258,miss,1,1225.1,986.4,
259,lowconf,2,1162.5,1188.8,0.521
260,lowconf,2,1132.4,1273.5,0.585
262,miss,1,1087.4,1368.2,
263,miss,1,1060.4,1426.7,
265,lowconf,2,1209.8,1247.3,0.578
266,miss,1,1146.9,1379.1,
267,miss,1,1144.5,1404.1,
268,lowconf,2,1110.6,1519.8,0.567
269,lowconf,2,1107.0,1512.0,0.587
270,lowconf,2,1424.4,965.1,0.598
275,lowconf,2,1493.8,966.2,0.579
276,lowconf,2,1522.5,977.1,0.543
277,lowconf,2,1527.0,1011.0,0.522
278,lowconf,2,1525.7,1014.5,0.551
283,lowconf,2,1490.3,1031.2,0.596
288,miss,1,1475.2,1075.7,
289,miss,1,1468.6,1084.5,
290,miss,1,1461.9,1093.4,
299,lowconf,2,1420.2,1335.1,0.588
300,miss,1,1411.8,1343.7,
303,lowconf,2,1389.0,1451.3,0.588
308,lowconf,2,1339.5,1614.0,0.52
311,lowconf,2,1327.5,1661.2,0.52
316,miss,1,1286.6,1766.2,
317,miss,1,1278.5,1789.4,
318,lowconf,2,1286.2,1702.5,0.539
319,miss,1,1272.5,1765.3,
320,miss,1,1266.1,1777.0,
327,fp_static,1,1311.6,1766.8,0.62
335,lowconf,2,1334.3,1735.3,0.567
336,miss,1,1332.9,1729.2,
337,lowconf,2,1341.8,1718.8,0.572
338,lowconf,2,1343.2,1708.8,0.562
339,lowconf,2,1345.2,1705.9,0.565
340,miss,1,1349.2,1701.3,
341,miss,1,1352.7,1695.4,
342,miss,1,1356.2,1689.5,
343,miss,1,1359.6,1683.6,
344,miss,1,1363.1,1677.7,
345,miss,1,1366.6,1671.8,
346,miss,1,1370.1,1666.0,
347,miss,1,1373.6,1660.1,
349,fp_isolated,1,1290.0,1485.0,0.525
350,miss,1,1294.2,1480.5,
351,miss,1,1289.2,1459.2,
352,miss,1,1284.1,1437.9,
353,miss,1,1279.0,1416.6,
354,miss,1,1273.9,1395.3,
355,miss,1,1268.9,1373.9,
356,miss,1,1263.8,1352.6,
357,miss,1,1258.7,1331.3,
361,lowconf,2,1231.0,1628.5,0.55
362,miss,1,1225.7,1615.6,
363,miss,1,1220.0,1625.6,
364,lowconf,2,1203.7,1691.2,0.511
365,lowconf,2,1206.0,1695.0,0.568
366,lowconf,2,1219.5,1711.5,0.529
368,lowconf,2,1224.5,1756.7,0.569
372,miss,1,1218.2,1826.0,
373,miss,1,1218.1,1844.6,
374,miss,1,1218.0,1863.2,
375,fp_isolated,1,1126.3,1821.2,0.525
376,miss,1,1149.2,1855.1,
377,miss,1,1138.9,1866.9,
378,miss,1,1128.6,1878.8,
379,miss,1,1118.4,1890.6,
380,miss,1,1108.1,1902.5,
381,miss,1,1097.8,1914.3,
382,fp_isolated,1,1076.3,1953.8,0.53
383,miss,1,1066.6,1964.1,
384,miss,1,1055.2,1978.7,
385,miss,1,1043.7,1993.3,
386,miss,1,1032.3,2007.9,
387,miss,1,1020.9,2022.6,
388,miss,1,1009.5,2037.2,
389,miss,1,998.0,2051.8,
390,miss,1,986.6,2066.5,
475,lowconf,2,1256.2,1893.8,0.563
476,miss,1,1315.9,1682.6,
479,miss,1,1486.1,1279.1,
480,miss,1,1543.9,1117.7,
481,miss,1,1601.8,956.2,
482,miss,1,1659.7,794.7,
487,lowconf,2,1716.1,1147.5,0.577
492,miss,1,1815.1,1141.9,
493,miss,1,1834.3,1143.6,
494,miss,1,1853.5,1145.2,
496,lowconf,2,1817.5,1015.0,0.509
498,lowconf,2,1828.4,941.3,0.591
500,lowconf,2,1822.6,922.5,0.587
504,miss,1,1842.0,849.4,
505,miss,1,1844.5,828.9,
506,miss,1,1847.1,808.4,
507,miss,1,1849.6,787.9,
508,miss,1,1852.2,767.4,
509,lowconf,2,1698.9,836.2,0.596
510,miss,1,1717.4,806.6,
511,lowconf,2,1625.0,837.5,0.519
512,miss,1,1637.1,812.6,
513,miss,1,1615.1,805.9,
514,miss,1,1593.1,799.2,
515,miss,1,1571.1,792.5,
516,miss,1,1549.1,785.9,
517,miss,1,1527.1,779.2,
518,miss,1,1505.1,772.5,
522,lowconf,2,948.7,1578.7,0.571
523,miss,1,925.4,1534.3,
525,miss,1,732.6,1890.8,
526,miss,1,656.9,1999.7,
527,miss,1,581.1,2108.5,
528,miss,1,505.3,2217.4,
529,miss,1,429.6,2326.2,
530,miss,1,353.8,2435.0,
531,miss,1,278.0,2543.9,
532,miss,1,202.3,2652.7,
548,fp_isolated,1,1893.7,975.0,0.51
549,miss,1,1893.7,975.0,
550,miss,1,1893.7,975.0,
551,miss,1,1893.7,975.0,
552,miss,1,1893.7,975.0,
553,miss,1,1893.7,975.0,
554,miss,1,1893.7,975.0,
555,miss,1,1893.7,975.0,
556,miss,1,1893.7,975.0,
610,miss,1,1838.3,1770.8,
