frame,cam1_detected,cam1_x_px,cam1_y_px,cam2_detected,cam2_x_px,cam2_y_px,court_x_m,court_y_m,court_z_m,source
0,0,,,0,,,,,,lost
1,0,,,0,,,,,,lost
2,1,507.6,947.5,0,,,-3.736,23.730,,side-1
3,1,556.2,1056.2,0,,,-2.507,20.705,,side-1
4,0,,,0,,,,,,lost
5,1,620.8,1192.6,0,,,-1.286,17.742,,side-1
6,0,,,0,,,,,,lost
7,1,676.6,1357.9,0,,,-0.249,14.997,,side-1
8,1,687.6,1301.3,0,,,-0.440,15.853,,side-1
9,1,689.9,1322.4,0,,,-0.339,15.526,,side-1
10,1,682.5,1218.6,0,,,-0.853,17.257,,side-1
11,1,677.5,1181.2,0,,,-1.073,17.962,,side-1
12,0,,,0,,,,,,lost
13,1,662.1,1063.4,0,,,-1.875,20.531,,side-1
14,1,660.5,1031.8,0,,,-2.109,21.330,,side-1
15,1,667.5,993.8,0,,,-2.360,22.362,,side-1
16,1,677.1,970.9,1,2633.8,931.3,-2.490,23.029,,side-1
17,1,684.9,949.6,0,,,-2.623,23.678,,side-1
18,1,684.1,951.7,0,,,-2.610,23.615,,side-1
19,1,701.6,946.7,0,,,-2.544,23.770,,side-1
20,1,708.2,945.5,1,1317.4,1449.1,-2.515,23.810,,side-1
21,1,708.8,952.4,0,,,-2.452,23.593,,side-1
22,1,724.7,975.2,0,,,-2.169,22.904,,side-1
23,1,736.4,983.2,0,,,-2.036,22.672,,side-1
24,1,743.5,1005.9,0,,,-1.824,22.029,,side-1
25,1,751.8,1036.1,0,,,-1.565,21.223,,side-1
26,1,764.8,1086.6,0,,,-1.170,19.983,,side-1
27,1,769.4,1099.6,0,,,-1.068,19.682,,side-1
28,1,796.5,1176.8,0,,,-0.513,18.051,,side-1
29,1,803.1,1186.2,0,,,-0.435,17.867,,side-1
30,1,809.2,1266.1,0,,,-0.047,16.429,,side-1
31,1,836.1,1331.9,0,,,0.330,15.382,,side-1
32,1,835.1,1337.2,1,2524.9,925.2,0.344,15.303,,side-1
33,1,2251.7,1549.6,0,,,6.238,12.571,,side-1
