frame,cam1_detected,cam1_x_px,cam1_y_px,cam2_detected,cam2_x_px,cam2_y_px,court_x_m,court_y_m,court_z_m,source
0,0,,,0,,,,,,lost
1,0,,,0,,,,,,lost
2,1,507.6,947.5,0,,,,,,lost
3,1,556.2,1056.2,0,,,,,,lost
4,0,,,0,,,,,,lost
5,1,620.8,1192.6,0,,,-1.269,17.809,,side-1
6,0,,,0,,,,,,lost
7,1,676.6,1357.9,0,,,-0.236,15.036,,side-1
8,1,687.6,1301.3,0,,,-0.425,15.900,,side-1
9,1,689.9,1322.4,0,,,-0.325,15.570,,side-1
10,1,682.5,1218.6,0,,,-0.835,17.318,,side-1
11,1,677.5,1181.2,0,,,-1.055,18.030,,side-1
12,0,,,0,,,,,,lost
13,1,662.1,1063.4,0,,,-1.853,20.629,,side-1
14,1,660.5,1031.8,0,,,,,,lost
15,1,667.5,993.8,0,,,,,,lost
16,1,677.1,970.9,1,2633.8,931.3,,,,lost
17,1,684.9,949.6,0,,,,,,lost
18,1,684.1,951.7,0,,,,,,lost
19,1,701.6,946.7,0,,,,,,lost
20,1,708.2,945.5,1,1317.4,1449.1,2.803,13.071,,side-2
21,1,708.8,952.4,0,,,,,,lost
22,1,724.7,975.2,0,,,,,,lost
23,1,736.4,983.2,0,,,,,,lost
24,1,743.5,1005.9,0,,,,,,lost
25,1,751.8,1036.1,0,,,-1.539,21.326,,side-1
26,1,764.8,1086.6,0,,,-1.146,20.071,,side-1
27,1,769.4,1099.6,0,,,-1.044,19.768,,side-1
28,1,796.5,1176.8,0,,,-0.492,18.118,,side-1
29,1,803.1,1186.2,0,,,-0.414,17.932,,side-1
30,1,809.2,1266.1,0,,,-0.029,16.480,,side-1
31,1,836.1,1331.9,0,,,0.346,15.422,,side-1
32,1,835.1,1337.2,1,2524.9,925.2,0.360,15.342,,side-1
33,1,2251.7,1549.6,0,,,6.253,12.581,,side-1
34,0,,,0,,,,,,lost
35,0,,,1,1351.1,2036.8,3.515,8.119,,side-2
36,1,893.2,1278.6,0,,,0.402,16.269,,side-1
