frame,visible,u,v
0,1,474.0,894.0
2,1,546.0,1044.0
4,1,618.0,1197.0
6,1,681.0,1365.0
8,1,693.0,1332.0
10,1,681.0,1200.0
12,1,660.0,1086.0
14,1,657.0,1008.0
16,1,681.0,972.0
18,1,696.0,954.0
20,1,714.0,957.0
22,1,732.0,996.0
24,1,747.0,1044.0
26,1,777.0,1116.0
28,1,807.0,1224.0
30,1,834.0,1335.0
32,1,822.0,1302.0
34,1,822.0,1218.0
36,1,903.0,1296.0
38,1,957.0,1305.0
40,1,978.0,1215.0
42,1,1014.0,1125.0
44,1,1041.0,1098.0
46,1,1068.0,1092.0
48,1,1098.0,1092.0
50,1,1119.0,1050.0
52,1,1140.0,1017.0
54,1,1176.0,1017.0
56,1,1200.0,1029.0
58,1,1227.0,1062.0
60,1,1236.0,1086.0
62,0,,
64,0,,
66,0,,
68,0,,
70,0,,
72,0,,
74,1,1410.0,1086.0
76,1,1434.0,1053.0
78,1,1524.0,1098.0
80,1,1656.0,1206.0
82,1,1776.0,1287.0
84,1,1836.0,1191.0
86,1,1884.0,1125.0
88,1,1941.0,1077.0
90,1,1992.0,1050.0
92,1,1998.0,1110.0
94,1,2007.0,1125.0
96,1,2019.0,1137.0
98,1,2028.0,1116.0
100,1,2034.0,1101.0
102,1,2022.0,1107.0
104,1,2016.0,1116.0
106,1,1998.0,1116.0
108,1,1974.0,1101.0
110,0,,
112,0,,
114,0,,
116,0,,
118,1,1911.0,1053.0
120,0,,
122,0,,
124,0,,
126,0,,
128,0,,
130,0,,
132,0,,
134,0,,
136,0,,
138,0,,
140,0,,
142,0,,
144,0,,
146,0,,
148,0,,
150,0,,
152,1,1725.0,903.0
154,1,1725.0,912.0
156,0,,
158,0,,
160,1,1719.0,957.0
162,1,1707.0,1005.0
164,1,1698.0,1071.0
166,1,1695.0,1167.0
168,1,1689.0,1167.0
170,1,1686.0,1107.0
172,1,1671.0,1071.0
174,1,1671.0,1071.0
176,1,1668.0,1044.0
178,1,1689.0,1026.0
180,1,1746.0,1008.0
182,1,1809.0,1008.0
184,1,1887.0,1041.0
186,1,1980.0,1101.0
188,1,2079.0,1212.0
190,1,2205.0,1395.0
192,1,2349.0,1674.0
194,1,2505.0,2043.0
196,0,,
198,0,,
200,0,,
202,0,,
204,0,,
206,0,,
208,0,,
210,0,,
212,0,,
214,1,3285.0,2076.0
216,1,3105.0,1782.0
218,1,2952.0,1578.0
220,1,2823.0,1467.0
222,1,2691.0,1398.0
224,1,2661.0,1425.0
226,1,2751.0,1569.0
228,1,2886.0,1797.0
230,1,3045.0,2154.0
232,0,,
234,0,,
236,0,,
238,0,,
240,0,,
242,0,,
244,0,,
246,0,,
248,0,,
250,0,,
252,0,,
254,0,,
256,0,,
258,0,,
260,0,,
262,0,,
264,0,,
266,0,,
268,1,2643.0,2124.0
270,1,2625.0,2058.0
272,1,2580.0,2028.0
274,1,2562.0,1917.0
276,1,2541.0,1851.0
278,1,2514.0,1782.0
280,1,2523.0,1758.0
282,1,2511.0,1770.0
284,1,2523.0,1809.0
286,1,2514.0,1869.0
288,1,2526.0,1881.0
290,1,2517.0,1884.0
292,1,2523.0,1896.0
294,1,2523.0,1914.0
296,1,2538.0,1920.0
298,1,2517.0,1935.0
300,0,,
302,1,2499.0,1830.0
304,1,2523.0,1752.0
306,1,2541.0,1683.0
308,0,,
310,0,,
312,0,,
314,1,2490.0,1554.0
316,0,,
318,0,,
320,0,,
322,0,,
324,0,,
326,0,,
328,0,,
330,0,,
332,0,,
334,0,,
336,0,,
338,0,,
340,0,,
342,0,,
344,0,,
346,0,,
348,1,2430.0,1326.0
350,0,,
352,1,2418.0,1326.0
354,1,2412.0,1305.0
356,0,,
358,0,,
360,0,,
362,0,,
364,0,,
366,0,,
368,0,,
370,0,,
372,0,,
374,0,,
376,0,,
378,0,,
380,0,,
382,0,,
384,0,,
386,0,,
388,0,,
390,0,,
392,0,,
394,0,,
396,0,,
398,0,,
400,0,,
402,0,,
404,0,,
406,0,,
408,0,,
410,0,,
412,0,,
414,0,,
416,0,,
418,1,2250.0,1017.0
420,1,2253.0,1086.0
422,1,2229.0,1164.0
424,1,2229.0,1185.0
426,1,2220.0,1122.0
428,1,2226.0,1086.0
430,1,2217.0,1053.0
432,1,2220.0,1059.0
434,1,2220.0,1041.0
436,1,2217.0,1020.0
438,1,2229.0,1038.0
440,1,2229.0,1083.0
442,1,2217.0,1155.0
444,1,2226.0,1287.0
446,1,2214.0,1488.0
448,1,2202.0,1776.0
450,1,2181.0,2157.0
452,0,,
454,0,,
456,0,,
458,0,,
460,0,,
462,0,,
464,0,,
466,0,,
468,0,,
470,0,,
472,1,2415.0,1923.0
474,1,2442.0,1545.0
476,1,2454.0,1311.0
478,1,2463.0,1149.0
480,1,2466.0,1062.0
482,1,2463.0,1020.0
484,1,2469.0,1020.0
486,1,2475.0,1035.0
488,1,2469.0,1062.0
490,1,2466.0,1116.0
492,1,2460.0,1173.0
494,1,2466.0,1131.0
496,1,2469.0,1056.0
498,1,2475.0,978.0
500,1,2481.0,942.0
502,1,2475.0,909.0
504,1,2481.0,900.0
506,1,2511.0,906.0
508,0,,
510,0,,
512,0,,
514,0,,
516,0,,
518,0,,
520,0,,
522,0,,
524,0,,
526,0,,
528,0,,
530,1,2484.0,990.0
532,0,,
534,1,2454.0,999.0
536,1,2418.0,1005.0
538,1,2385.0,996.0
540,1,2358.0,993.0
542,1,2310.0,975.0
544,0,,
546,0,,
548,1,2256.0,972.0
550,1,2235.0,990.0
552,1,2229.0,1038.0
554,1,2208.0,1107.0
556,1,2184.0,1194.0
558,1,2181.0,1164.0
560,1,2184.0,1104.0
562,1,2172.0,1077.0
564,1,2172.0,1074.0
566,1,2136.0,1062.0
568,1,2088.0,1071.0
570,1,2031.0,1107.0
572,1,1959.0,1173.0
574,1,1887.0,1290.0
576,1,1806.0,1440.0
578,1,1707.0,1635.0
580,1,1674.0,1743.0
